person,796,157,890,323,0.9274682998657227
person,1197,172,1242,312,0.578209638595581
bicycle,963,180,1052,229,0.9621288180351257
bicycle,783,240,896,375,0.9412724375724792
bicycle,593,178,635,212,0.6376294493675232
car,295,153,438,262,0.9697156548500061
traffic light,110,107,139,142,0.7564840912818909
traffic light,0,57,28,105,0.6556472182273865
traffic light,1021,93,1045,126,0.5472643375396729
traffic light,81,0,132,103,0.5469894409179688
traffic light,82,-1,129,66,0.49142077565193176
traffic light,1056,80,1088,124,0.4753706157207489
handbag,854,192,903,269,0.4853799045085907
